qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,gene_seq,Gene_norm,organism,GeneID
CYANO_51_1.Contig_1,NZ_JXYX01000008.1:214032-216905,78.961,385,81,0,77738,78122,38,422,3.63e-69,263,NZ_JXYX01000008.1:214032-216905 uvrA [organism=Microcystis aeruginosa NIES-88] [GeneID=66707956] [chromosome=],uvrA,Microcystis aeruginosa NIES-88,66707956
CYANO_51_1.Contig_25,NZ_LR882952.1:2067445-2069868,81.366,322,58,2,29621,29941,1243,923,4.97e-69,261,NZ_LR882952.1:2067445-2069868 NMG88_RS09570 [organism=Planktothrix agardhii] [GeneID=77288051] [chromosome=I],NMG88_RS09570,Planktothrix agardhii,77288051
CYANO_51_1.Contig_25,NZ_LR882952.1:2067445-2069868,74.667,525,126,7,30030,30551,872,352,1.81e-58,226,NZ_LR882952.1:2067445-2069868 NMG88_RS09570 [organism=Planktothrix agardhii] [GeneID=77288051] [chromosome=I],NMG88_RS09570,Planktothrix agardhii,77288051
CYANO_51_1.Contig_53,NZ_LR882952.1:c4098973-4096490,77.944,2072,442,15,12856,14919,2451,387,0,1280,NZ_LR882952.1:c4098973-4096490 recG [organism=Planktothrix agardhii] [GeneID=77289917] [chromosome=I],recG,Planktothrix agardhii,77289917
CYANO_51_1.Contig_53,NZ_KE384599.1:c2617-29,71.983,2113,534,50,27317,29397,2561,475,5.56e-162,569,NZ_KE384599.1:c2617-29 mutS [organism=Dolichospermum circinale AWQC131C] [GeneID=78012183] [chromosome=],mutS,Dolichospermum circinale AWQC131C,78012183
CYANO_51_1.Contig_53,NZ_JACJTO010000025.1:c30911-28323,71.708,2149,550,50,27317,29433,2561,439,2.6e-155,547,NZ_JACJTO010000025.1:c30911-28323 mutS [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218882] [chromosome=],mutS,Aphanizomenon flos-aquae FACHB-1287,78218882
CYANO_51_1.Contig_57,NZ_CP020114.1:c4994885-4993635,78.07,114,25,0,1719,1832,726,613,1.83e-12,73.1,NZ_CP020114.1:c4994885-4993635 sigC [organism=Nodularia spumigena UHCC 0039] [GeneID=78019642] [chromosome=],sigC,Nodularia spumigena UHCC 0039,78019642
CYANO_51_1.Contig_57,NZ_CP085785.1:1916104-1917300,81.176,85,14,2,1671,1754,720,637,8.51e-11,67.6,NZ_CP085785.1:1916104-1917300 sigC [organism=Synechococcus elongatus PCC 6301] [GeneID=72430720] [chromosome=],sigC,Synechococcus elongatus PCC 6301,72430720
CYANO_51_1.Contig_61,NZ_JACJTO010000018.1:c30292-29192,73.349,878,212,19,5864,6730,145,1011,1.59e-82,305,NZ_JACJTO010000018.1:c30292-29192 ruvB [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218392] [chromosome=],ruvB,Aphanizomenon flos-aquae FACHB-1287,78218392
CYANO_51_1.Contig_63,NZ_CP020114.1:c3685187-3683310,72.819,1880,442,52,13352,15204,1871,34,2.98e-164,577,NZ_CP020114.1:c3685187-3683310 uvrC [organism=Nodularia spumigena UHCC 0039] [GeneID=78018506] [chromosome=],uvrC,Nodularia spumigena UHCC 0039,78018506
CYANO_51_1.Contig_63,NZ_AJLL01000040.1:c5960-4056,71.713,1909,488,46,13352,15228,1898,10,5.17e-137,486,NZ_AJLL01000040.1:c5960-4056 uvrC [organism=Fischerella thermalis PCC 7521] [GeneID=35799822] [chromosome=],uvrC,Fischerella thermalis PCC 7521,35799822
CYANO_51_1.Contig_79,NZ_LR882952.1:888775-890772,79.202,1904,380,16,8369,10264,1997,102,0,1308,NZ_LR882952.1:888775-890772 uvrB [organism=Planktothrix agardhii] [GeneID=77286964] [chromosome=I],uvrB,Planktothrix agardhii,77286964
CYANO_51_1.Contig_79,NZ_CP020114.1:c123803-121806,76.289,1940,430,23,8402,10326,1964,40,0,1007,NZ_CP020114.1:c123803-121806 uvrB [organism=Nodularia spumigena UHCC 0039] [GeneID=78015522] [chromosome=],uvrB,Nodularia spumigena UHCC 0039,78015522
CYANO_51_1.Contig_79,NZ_AJLL01000063.1:c82007-80010,75.974,1977,451,19,8368,10332,1998,34,0,998,NZ_AJLL01000063.1:c82007-80010 uvrB [organism=Fischerella thermalis PCC 7521] [GeneID=35799221] [chromosome=],uvrB,Fischerella thermalis PCC 7521,35799221
CYANO_51_1.Contig_122,NZ_LR882952.1:c3766327-3764780,87.692,65,8,0,6739,6803,130,66,7.31e-14,76.8,NZ_LR882952.1:c3766327-3764780 NMG88_RS17475 [organism=Planktothrix agardhii] [GeneID=77289632] [chromosome=I],NMG88_RS17475,Planktothrix agardhii,77289632
CYANO_51_1.Contig_151,NZ_LR882952.1:2770426-2772612,74.296,1739,405,36,3843,5560,1718,1,0,697,NZ_LR882952.1:2770426-2772612 recQ [organism=Planktothrix agardhii] [GeneID=77288743] [chromosome=I],recQ,Planktothrix agardhii,77288743
CYANO_51_1.Contig_151,NZ_AESD01000712.1:c15827-13695,69.876,1371,345,56,4097,5433,1443,107,1.22e-45,182,NZ_AESD01000712.1:c15827-13695 recQ [organism=Crocosphaera watsonii WH 0003] [GeneID=88768133] [chromosome=],recQ,Crocosphaera watsonii WH 0003,88768133
CYANO_51_1.Contig_183,NZ_LAHB01000028.1:11747-12823,77.031,997,227,2,11155,12150,1023,28,4.67e-163,571,NZ_LAHB01000028.1:11747-12823 recA [organism=Nostoc linckia z6] [GeneID=57095343] [chromosome=],recA,Nostoc linckia z6,57095343
CYANO_51_1.Contig_183,NZ_KE384612.1:c44638-43565,78.034,824,181,0,11327,12150,851,28,1.72e-147,520,NZ_KE384612.1:c44638-43565 recA [organism=Dolichospermum circinale AWQC131C] [GeneID=78013076] [chromosome=],recA,Dolichospermum circinale AWQC131C,78013076
CYANO_51_1.Contig_186,NZ_CP047242.1:2717252-2718502,74.307,794,198,6,4705,5495,429,1219,8.49e-91,331,NZ_CP047242.1:2717252-2718502 sigC [organism=Trichormus variabilis 0441] [GeneID=58723833] [chromosome=],sigC,Trichormus variabilis 0441,58723833
CYANO_51_1.Contig_293,NZ_AESD01000164.1:3534-5099,75.565,929,210,12,1583,2501,580,1501,8.45e-125,442,NZ_AESD01000164.1:3534-5099 radA [organism=Crocosphaera watsonii WH 0003] [GeneID=88764873] [chromosome=],radA,Crocosphaera watsonii WH 0003,88764873
CYANO_79.Contig_87,NZ_LAHB01000015.1:c109909-108659,82.645,121,19,2,3352,3471,810,691,3e-23,106,NZ_LAHB01000015.1:c109909-108659 sigC [organism=Nostoc linckia z6] [GeneID=57094167] [chromosome=],sigC,Nostoc linckia z6,57094167
CYANO_79.Contig_382,NZ_JXYX01000014.1:c55009-53006,71.247,1492,409,17,693,2174,99,1580,3.01e-100,361,NZ_JXYX01000014.1:c55009-53006 uvrB [organism=Microcystis aeruginosa NIES-88] [GeneID=66708695] [chromosome=],uvrB,Microcystis aeruginosa NIES-88,66708695
CYANO_79.Contig_599,NZ_KE384607.1:c13130-10728,88,75,9,0,2454,2528,1229,1155,1.16e-18,89.8,NZ_KE384607.1:c13130-10728 ACIR131C_RS0109580 [organism=Dolichospermum circinale AWQC131C] [GeneID=78012797] [chromosome=],ACIR131C_RS0109580,Dolichospermum circinale AWQC131C,78012797
CYANO_84.Contig_1,NZ_JACJTO010000007.1:68616-70613,90.366,1993,188,4,35538,37528,1,1991,0,2614,NZ_JACJTO010000007.1:68616-70613 uvrB [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217381] [chromosome=],uvrB,Aphanizomenon flos-aquae FACHB-1287,78217381
CYANO_84.Contig_1,NZ_KE384619.1:c14724-12727,90.115,1993,195,2,35538,37529,1,1992,0,2588,NZ_KE384619.1:c14724-12727 uvrB [organism=Dolichospermum circinale AWQC131C] [GeneID=78013467] [chromosome=],uvrB,Dolichospermum circinale AWQC131C,78013467
CYANO_84.Contig_1,NZ_LAHB01000011.1:23963-25960,81.405,1979,358,8,35556,37529,19,1992,0,1607,NZ_LAHB01000011.1:23963-25960 uvrB [organism=Nostoc linckia z6] [GeneID=57093640] [chromosome=],uvrB,Nostoc linckia z6,57093640
CYANO_84.Contig_1,NZ_CP020114.1:c123803-121806,80.231,1993,379,14,35543,37528,7,1991,0,1483,NZ_CP020114.1:c123803-121806 uvrB [organism=Nodularia spumigena UHCC 0039] [GeneID=78015522] [chromosome=],uvrB,Nodularia spumigena UHCC 0039,78015522
CYANO_84.Contig_1,NZ_JANQDJ010000069.1:c3091-1094,79.88,1993,388,12,35543,37529,7,1992,0,1447,NZ_JANQDJ010000069.1:c3091-1094 uvrB [organism=Umezakia ovalisporum Ak1311] [GeneID=83685926] [chromosome=],uvrB,Umezakia ovalisporum Ak1311,83685926
CYANO_84.Contig_1,NZ_CP047242.1:778650-780647,79.31,1972,398,10,35554,37520,17,1983,0,1373,NZ_CP047242.1:778650-780647 uvrB [organism=Trichormus variabilis 0441] [GeneID=58722253] [chromosome=],uvrB,Trichormus variabilis 0441,58722253
CYANO_84.Contig_1,NZ_KE384626.1:c8487-7888,89.465,598,63,0,37956,38553,598,1,0,756,NZ_KE384626.1:c8487-7888 recR [organism=Dolichospermum circinale AWQC131C] [GeneID=78013799] [chromosome=],recR,Dolichospermum circinale AWQC131C,78013799
CYANO_84.Contig_1,NZ_JACJTO010000002.1:186697-187296,89.316,599,64,0,37955,38553,599,1,0,752,NZ_JACJTO010000002.1:186697-187296 recR [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78216737] [chromosome=],recR,Aphanizomenon flos-aquae FACHB-1287,78216737
CYANO_84.Contig_6,NZ_JACJTO010000047.1:c23055-22450,88.944,606,67,0,20565,21170,1,606,0,749,NZ_JACJTO010000047.1:c23055-22450 lexA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219793] [chromosome=],lexA,Aphanizomenon flos-aquae FACHB-1287,78219793
CYANO_84.Contig_6,NZ_KE384593.1:7130-7735,86.513,608,78,4,20565,21170,1,606,0,665,NZ_KE384593.1:7130-7735 lexA [organism=Dolichospermum circinale AWQC131C] [GeneID=78011784] [chromosome=],lexA,Dolichospermum circinale AWQC131C,78011784
CYANO_84.Contig_6,NZ_CP020114.1:3584955-3585557,79.732,523,104,2,20565,21086,1,522,3.81e-104,377,NZ_CP020114.1:3584955-3585557 lexA [organism=Nodularia spumigena UHCC 0039] [GeneID=78018418] [chromosome=],lexA,Nodularia spumigena UHCC 0039,78018418
CYANO_84.Contig_6,NZ_CP047242.1:4005145-4005750,76.897,593,137,0,20565,21157,1,593,6.47e-92,337,NZ_CP047242.1:4005145-4005750 lexA [organism=Trichormus variabilis 0441] [GeneID=58724875] [chromosome=],lexA,Trichormus variabilis 0441,58724875
CYANO_84.Contig_6,NZ_CP065936.1:978207-978839,76.897,593,123,11,20575,21157,11,599,5.04e-88,324,NZ_CP065936.1:978207-978839 lexA [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92780053] [chromosome=],lexA,Cylindrospermopsis raciborskii Cr2010,92780053
CYANO_84.Contig_10,NZ_JACJTO010000010.1:102519-104831,86.859,2321,289,15,14731,17043,2313,1,0,2582,NZ_JACJTO010000010.1:102519-104831 recJ [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217783] [chromosome=],recJ,Aphanizomenon flos-aquae FACHB-1287,78217783
CYANO_84.Contig_10,NZ_KE384617.1:c46296-43954,84.306,2313,343,17,14741,17043,2303,1,0,2242,NZ_KE384617.1:c46296-43954 recJ [organism=Dolichospermum circinale AWQC131C] [GeneID=78013404] [chromosome=],recJ,Dolichospermum circinale AWQC131C,78013404
CYANO_84.Contig_10,NZ_CP047242.1:c2304021-2301703,76.983,1790,388,20,15266,17043,1778,1,0,1002,NZ_CP047242.1:c2304021-2301703 recJ [organism=Trichormus variabilis 0441] [GeneID=58723492] [chromosome=],recJ,Trichormus variabilis 0441,58723492
CYANO_84.Contig_10,NZ_JANQDJ010000031.1:4416-6734,76.27,1791,395,28,15265,17043,1773,1,0,926,NZ_JANQDJ010000031.1:4416-6734 recJ [organism=Umezakia ovalisporum Ak1311] [GeneID=83684157] [chromosome=],recJ,Umezakia ovalisporum Ak1311,83684157
CYANO_84.Contig_10,NZ_CP065936.1:2759464-2761836,75.681,1468,329,23,15329,16788,1718,271,0,708,NZ_CP065936.1:2759464-2761836 recJ [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92781655] [chromosome=],recJ,Cylindrospermopsis raciborskii Cr2010,92781655
CYANO_84.Contig_19,NZ_JACJTO010000025.1:c30911-28323,85.964,2579,347,11,11300,13876,2574,9,0,2743,NZ_JACJTO010000025.1:c30911-28323 mutS [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218882] [chromosome=],mutS,Aphanizomenon flos-aquae FACHB-1287,78218882
CYANO_84.Contig_19,NZ_KE384599.1:c2617-29,85.77,2558,350,10,11300,13856,2574,30,0,2695,NZ_KE384599.1:c2617-29 mutS [organism=Dolichospermum circinale AWQC131C] [GeneID=78012183] [chromosome=],mutS,Dolichospermum circinale AWQC131C,78012183
CYANO_84.Contig_19,NZ_CP020114.1:5263565-5266156,80.275,2545,458,32,11304,13838,2573,63,0,1879,NZ_CP020114.1:5263565-5266156 mutS [organism=Nodularia spumigena UHCC 0039] [GeneID=78019851] [chromosome=],mutS,Nodularia spumigena UHCC 0039,78019851
CYANO_84.Contig_19,NZ_CP065936.1:2811061-2813625,77.951,1864,391,19,11975,13828,1905,52,0,1147,NZ_CP065936.1:2811061-2813625 mutS [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92781704] [chromosome=],mutS,Cylindrospermopsis raciborskii Cr2010,92781704
CYANO_84.Contig_25,NZ_KE384604.1:24243-25682,80.625,1440,271,8,10512,11947,1436,1,0,1107,NZ_KE384604.1:24243-25682 ACIR131C_RS0108635 [organism=Dolichospermum circinale AWQC131C] [GeneID=78012631] [chromosome=],ACIR131C_RS0108635,Dolichospermum circinale AWQC131C,78012631
CYANO_84.Contig_25,NZ_JACJTO010000005.1:73734-75203,79.471,1437,283,12,10517,11947,1431,1,0,1009,NZ_JACJTO010000005.1:73734-75203 H6G44_RS03880 [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217112] [chromosome=],H6G44_RS03880,Aphanizomenon flos-aquae FACHB-1287,78217112
CYANO_84.Contig_29,NZ_JACJTO010000044.1:29549-30664,87.173,1107,142,0,5815,6921,1,1107,0,1258,NZ_JACJTO010000044.1:29549-30664 recF [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219716] [chromosome=],recF,Aphanizomenon flos-aquae FACHB-1287,78219716
CYANO_84.Contig_29,NZ_KE384611.1:20879-21994,84.463,1107,172,0,5815,6921,1,1107,0,1092,NZ_KE384611.1:20879-21994 recF [organism=Dolichospermum circinale AWQC131C] [GeneID=78013004] [chromosome=],recF,Dolichospermum circinale AWQC131C,78013004
CYANO_84.Contig_29,NZ_LAHB01000007.1:c37334-36204,75.227,1102,238,29,5815,6897,1,1086,2.83e-138,490,NZ_LAHB01000007.1:c37334-36204 recF [organism=Nostoc linckia z6] [GeneID=57092948] [chromosome=],recF,Nostoc linckia z6,57092948
CYANO_84.Contig_29,NZ_CP047242.1:c5529770-5528640,74.499,1098,250,25,5815,6897,1,1083,4.81e-126,449,NZ_CP047242.1:c5529770-5528640 recF [organism=Trichormus variabilis 0441] [GeneID=58726175] [chromosome=],recF,Trichormus variabilis 0441,58726175
CYANO_84.Contig_33,NZ_KE384659.1:c96890-95211,88.462,364,42,0,38,401,372,9,2.82e-123,440,NZ_KE384659.1:c96890-95211 mutL [organism=Dolichospermum circinale AWQC131C] [GeneID=78014695] [chromosome=],mutL,Dolichospermum circinale AWQC131C,78014695
CYANO_84.Contig_33,NZ_JACJTO010000053.1:c8096-6411,85.037,401,58,2,2,401,405,6,2.86e-113,407,NZ_JACJTO010000053.1:c8096-6411 mutL [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219924] [chromosome=],mutL,Aphanizomenon flos-aquae FACHB-1287,78219924
CYANO_84.Contig_38,NZ_JACJTO010000006.1:81111-83156,87.963,1944,234,0,63,2006,2026,83,0,2294,NZ_JACJTO010000006.1:81111-83156 recJ [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78217247] [chromosome=],recJ,Aphanizomenon flos-aquae FACHB-1287,78217247
CYANO_84.Contig_38,NZ_KE384624.1:28797-30842,86.144,2028,273,8,65,2088,2024,1,0,2182,NZ_KE384624.1:28797-30842 recJ [organism=Dolichospermum circinale AWQC131C] [GeneID=78013752] [chromosome=],recJ,Dolichospermum circinale AWQC131C,78013752
CYANO_84.Contig_39,NZ_JACJTO010000018.1:1320-3509,87.814,2191,263,4,7255,9443,1,2189,0,2564,NZ_JACJTO010000018.1:1320-3509 recQ [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218366] [chromosome=],recQ,Aphanizomenon flos-aquae FACHB-1287,78218366
CYANO_84.Contig_39,NZ_KE384629.1:c9741-7552,87.551,2193,267,6,7255,9444,1,2190,0,2532,NZ_KE384629.1:c9741-7552 recQ [organism=Dolichospermum circinale AWQC131C] [GeneID=78013877] [chromosome=],recQ,Dolichospermum circinale AWQC131C,78013877
CYANO_84.Contig_39,NZ_CP020114.1:1241535-1243700,77.762,2163,469,12,7255,9411,1,2157,0,1319,NZ_CP020114.1:1241535-1243700 recQ [organism=Nodularia spumigena UHCC 0039] [GeneID=78016401] [chromosome=],recQ,Nodularia spumigena UHCC 0039,78016401
CYANO_84.Contig_39,NZ_LAHB01000059.1:c32765-30606,77.185,2174,454,37,7255,9410,1,2150,0,1229,NZ_LAHB01000059.1:c32765-30606 recQ [organism=Nostoc linckia z6] [GeneID=57097439] [chromosome=],recQ,Nostoc linckia z6,57097439
CYANO_84.Contig_39,NZ_JANQDJ010000018.1:69116-71290,76.673,2182,467,37,7255,9411,1,2165,0,1171,NZ_JANQDJ010000018.1:69116-71290 recQ [organism=Umezakia ovalisporum Ak1311] [GeneID=83683854] [chromosome=],recQ,Umezakia ovalisporum Ak1311,83683854
CYANO_84.Contig_39,NZ_CP047242.1:4645432-4647588,76.02,2181,477,41,7255,9417,1,2153,0,1088,NZ_CP047242.1:4645432-4647588 recQ [organism=Trichormus variabilis 0441] [GeneID=58725451] [chromosome=],recQ,Trichormus variabilis 0441,58725451
CYANO_84.Contig_39,NZ_AESD01000712.1:c15827-13695,70.935,1476,386,34,7273,8727,22,1475,7.85e-84,309,NZ_AESD01000712.1:c15827-13695 recQ [organism=Crocosphaera watsonii WH 0003] [GeneID=88768133] [chromosome=],recQ,Crocosphaera watsonii WH 0003,88768133
CYANO_84.Contig_48,NZ_KE384612.1:c25373-24126,77.574,272,57,4,12828,13097,538,807,2.1e-39,161,NZ_KE384612.1:c25373-24126 sigC [organism=Dolichospermum circinale AWQC131C] [GeneID=78013054] [chromosome=],sigC,Dolichospermum circinale AWQC131C,78013054
CYANO_84.Contig_77,NZ_JACJTO010000022.1:5217-6737,86.071,1321,163,12,15496,16816,1521,222,0,1400,NZ_JACJTO010000022.1:5217-6737 radA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218662] [chromosome=],radA,Aphanizomenon flos-aquae FACHB-1287,78218662
CYANO_84.Contig_77,NZ_KE384657.1:c38707-37184,85.736,1318,168,10,15500,16816,1520,222,0,1375,NZ_KE384657.1:c38707-37184 radA [organism=Dolichospermum circinale AWQC131C] [GeneID=78014539] [chromosome=],radA,Dolichospermum circinale AWQC131C,78014539
CYANO_84.Contig_77,NZ_JANQDJ010000020.1:4609-6129,78.683,1276,240,25,15551,16816,1475,222,0,821,NZ_JANQDJ010000020.1:4609-6129 radA [organism=Umezakia ovalisporum Ak1311] [GeneID=83683885] [chromosome=],radA,Umezakia ovalisporum Ak1311,83683885
CYANO_84.Contig_77,NZ_CP020114.1:c2388482-2386908,81.325,921,170,2,15551,16470,1505,586,0,747,NZ_CP020114.1:c2388482-2386908 radA [organism=Nodularia spumigena UHCC 0039] [GeneID=78017402] [chromosome=],radA,Nodularia spumigena UHCC 0039,78017402
CYANO_84.Contig_77,NZ_LR882952.1:3843913-3845499,75.501,849,206,2,15620,16467,1478,631,1.13e-115,414,NZ_LR882952.1:3843913-3845499 radA [organism=Planktothrix agardhii] [GeneID=77289712] [chromosome=I],radA,Planktothrix agardhii,77289712
CYANO_84.Contig_77,NZ_CP065936.1:c284085-282517,81.712,257,47,0,16560,16816,451,195,1.23e-55,215,NZ_CP065936.1:c284085-282517 radA [organism=Cylindrospermopsis raciborskii Cr2010] [GeneID=92779397] [chromosome=],radA,Cylindrospermopsis raciborskii Cr2010,92779397
CYANO_84.Contig_87,NZ_APIY01000452.1:c993-1,97.638,127,3,0,3839,3965,236,362,8.57e-57,219,NZ_APIY01000452.1:c993-1 iscB [organism=Dolichospermum circinale AWQC131C] [GeneID=78011336] [chromosome=],iscB,Dolichospermum circinale AWQC131C,78011336
CYANO_84.Contig_87,NZ_CP020114.1:c3984789-3984109,87.805,123,15,0,3839,3961,236,358,1.48e-34,145,NZ_CP020114.1:c3984789-3984109 iscB [organism=Nodularia spumigena UHCC 0039] [GeneID=78018765] [chromosome=],iscB,Nodularia spumigena UHCC 0039,78018765
CYANO_84.Contig_91,NZ_KE384607.1:c13130-10728,85.437,1236,179,1,8910,10145,1,1235,0,1284,NZ_KE384607.1:c13130-10728 ACIR131C_RS0109580 [organism=Dolichospermum circinale AWQC131C] [GeneID=78012797] [chromosome=],ACIR131C_RS0109580,Dolichospermum circinale AWQC131C,78012797
CYANO_84.Contig_91,NZ_KE384607.1:c13130-10728,82.555,1135,193,3,10221,11354,1273,2403,0,994,NZ_KE384607.1:c13130-10728 ACIR131C_RS0109580 [organism=Dolichospermum circinale AWQC131C] [GeneID=78012797] [chromosome=],ACIR131C_RS0109580,Dolichospermum circinale AWQC131C,78012797
CYANO_84.Contig_91,NZ_JACJTO010000025.1:38869-41262,85.113,1236,177,4,8910,10145,1,1229,0,1256,NZ_JACJTO010000025.1:38869-41262 H6G44_RS12960 [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218890] [chromosome=],H6G44_RS12960,Aphanizomenon flos-aquae FACHB-1287,78218890
CYANO_84.Contig_91,NZ_JACJTO010000025.1:38869-41262,84.493,1135,168,5,10221,11354,1267,2394,0,1114,NZ_JACJTO010000025.1:38869-41262 H6G44_RS12960 [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218890] [chromosome=],H6G44_RS12960,Aphanizomenon flos-aquae FACHB-1287,78218890
CYANO_84.Contig_91,NZ_CP020114.1:c2600812-2598359,75.577,2469,553,42,8910,11350,1,2447,0,1173,NZ_CP020114.1:c2600812-2598359 BMF81_RS11540 [organism=Nodularia spumigena UHCC 0039] [GeneID=78017585] [chromosome=],BMF81_RS11540,Nodularia spumigena UHCC 0039,78017585
CYANO_84.Contig_91,NZ_CP047242.1:c4593312-4590916,77.954,1134,236,11,10226,11352,1266,2392,0,697,NZ_CP047242.1:c4593312-4590916 GSQ19_RS18955 [organism=Trichormus variabilis 0441] [GeneID=58725407] [chromosome=],GSQ19_RS18955,Trichormus variabilis 0441,58725407
CYANO_84.Contig_93,NZ_JACJTO010000021.1:c66481-63539,84.84,2876,424,12,10500,13366,2930,58,0,2885,NZ_JACJTO010000021.1:c66481-63539 uvrA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218646] [chromosome=],uvrA,Aphanizomenon flos-aquae FACHB-1287,78218646
CYANO_84.Contig_93,NZ_KE384613.1:50020-52932,85.294,2074,295,8,10492,12557,2908,837,0,2132,NZ_KE384613.1:50020-52932 uvrA [organism=Dolichospermum circinale AWQC131C] [GeneID=78013208] [chromosome=],uvrA,Dolichospermum circinale AWQC131C,78013208
CYANO_84.Contig_93,NZ_LAHB01000066.1:14261-17194,79.633,2072,408,12,10496,12557,2907,840,0,1476,NZ_LAHB01000066.1:14261-17194 uvrA [organism=Nostoc linckia z6] [GeneID=57097684] [chromosome=],uvrA,Nostoc linckia z6,57097684
CYANO_84.Contig_93,NZ_LAHB01000066.1:14261-17194,80.455,660,127,2,12708,13366,758,100,2.02e-142,503,NZ_LAHB01000066.1:14261-17194 uvrA [organism=Nostoc linckia z6] [GeneID=57097684] [chromosome=],uvrA,Nostoc linckia z6,57097684
CYANO_84.Contig_93,NZ_CP020114.1:1383340-1386210,78.82,2068,403,28,10512,12557,2843,789,0,1360,NZ_CP020114.1:1383340-1386210 uvrA [organism=Nodularia spumigena UHCC 0039] [GeneID=78016526] [chromosome=],uvrA,Nodularia spumigena UHCC 0039,78016526
CYANO_84.Contig_97,NZ_KE384650.1:c5800-5135,85.1,651,94,3,1378,2026,4,653,0,662,NZ_KE384650.1:c5800-5135 ACIR131C_RS0119245 [organism=Dolichospermum circinale AWQC131C] [GeneID=78014387] [chromosome=],ACIR131C_RS0119245,Dolichospermum circinale AWQC131C,78014387
CYANO_84.Contig_125,NZ_JACJTO010000022.1:c32001-30271,88.143,1729,205,0,10199,11927,1,1729,0,2058,NZ_JACJTO010000022.1:c32001-30271 recN [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218682] [chromosome=],recN,Aphanizomenon flos-aquae FACHB-1287,78218682
CYANO_84.Contig_125,NZ_KE384623.1:25615-27345,86.227,1728,233,3,10199,11923,1,1726,0,1868,NZ_KE384623.1:25615-27345 recN [organism=Dolichospermum circinale AWQC131C] [GeneID=78013610] [chromosome=],recN,Dolichospermum circinale AWQC131C,78013610
CYANO_84.Contig_125,NZ_LAHB01000054.1:258-2006,77.7,1722,347,30,10215,11910,17,1727,0,1018,NZ_LAHB01000054.1:258-2006 recN [organism=Nostoc linckia z6] [GeneID=57097181] [chromosome=],recN,Nostoc linckia z6,57097181
CYANO_84.Contig_125,NZ_CP020114.1:c257109-255382,76.793,1715,360,35,10215,11913,17,1709,0,928,NZ_CP020114.1:c257109-255382 recN [organism=Nodularia spumigena UHCC 0039] [GeneID=78015633] [chromosome=],recN,Nodularia spumigena UHCC 0039,78015633
CYANO_84.Contig_137,NZ_KE384612.1:c44638-43565,89.562,1073,112,0,9709,10781,1073,1,0,1362,NZ_KE384612.1:c44638-43565 recA [organism=Dolichospermum circinale AWQC131C] [GeneID=78013076] [chromosome=],recA,Dolichospermum circinale AWQC131C,78013076
CYANO_84.Contig_137,NZ_JACJTO010000034.1:c6821-5745,88.208,1077,127,0,9705,10781,1077,1,0,1286,NZ_JACJTO010000034.1:c6821-5745 recA [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78219337] [chromosome=],recA,Aphanizomenon flos-aquae FACHB-1287,78219337
CYANO_84.Contig_137,NZ_CP047242.1:c1128002-1126926,81.92,1073,185,8,9712,10781,1067,1,0,898,NZ_CP047242.1:c1128002-1126926 recA [organism=Trichormus variabilis 0441] [GeneID=58722498] [chromosome=],recA,Trichormus variabilis 0441,58722498
CYANO_84.Contig_137,NZ_JANQDJ010000049.1:2341-3420,82.652,1003,168,5,9763,10762,1019,20,0,883,NZ_JANQDJ010000049.1:2341-3420 recA [organism=Umezakia ovalisporum Ak1311] [GeneID=83685033] [chromosome=],recA,Umezakia ovalisporum Ak1311,83685033
CYANO_84.Contig_137,NZ_CP020114.1:4705113-4706183,81.765,1020,184,2,9763,10781,1019,1,0,852,NZ_CP020114.1:4705113-4706183 recA [organism=Nodularia spumigena UHCC 0039] [GeneID=78019392] [chromosome=],recA,Nodularia spumigena UHCC 0039,78019392
CYANO_84.Contig_153,NZ_JACJTO010000016.1:c84639-82762,88.279,1877,210,10,6887,8758,1872,1,0,2239,NZ_JACJTO010000016.1:c84639-82762 uvrC [organism=Aphanizomenon flos-aquae FACHB-1287] [GeneID=78218295] [chromosome=],uvrC,Aphanizomenon flos-aquae FACHB-1287,78218295
