gene_callers_id,source,accession,function,e_value,contig,genome
70004,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),6.6e-30,CYBIM_200.Contig_1,CYBIM_200
70232,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",5.899999999999999e-271,CYBIM_200.Contig_3,CYBIM_200
72970,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.8999999999999995e-177,CYBIM_200.Contig_104,CYBIM_200
73980,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",9.7e-274,CYBIM_22.Contig_25,CYBIM_22
74037,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.4999999999999998e-46,CYBIM_22.Contig_27,CYBIM_22
74305,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.4e-182,CYBIM_22.Contig_39,CYBIM_22
75373,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.3e-20,CYBIM_22.Contig_119,CYBIM_22
75663,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.6e-94,CYBIM_22.Contig_154,CYBIM_22
77188,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.4999999999999998e-89,CYBIM_231.Contig_32,CYBIM_231
77380,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),7.1e-49,CYBIM_231.Contig_45,CYBIM_231
77747,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.4e-18,CYBIM_231.Contig_74,CYBIM_231
78026,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1e-270,CYBIM_231.Contig_101,CYBIM_231
78237,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.7999999999999995e-180,CYBIM_231.Contig_123,CYBIM_231
79857,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",6.9e-272,CYBIM_28.Contig_6,CYBIM_28
80065,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),8.599999999999999e-44,CYBIM_28.Contig_14,CYBIM_28
81959,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),4.7e-182,CYBIM_28.Contig_235,CYBIM_28
82023,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.1999999999999999e-90,CYBIM_28.Contig_251,CYBIM_28
83541,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.9000000000000002e-30,CYBIM_31.Contig_20,CYBIM_31
84408,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.5e-271,CYBIM_31.Contig_46,CYBIM_31
84634,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.3999999999999997e-176,CYBIM_31.Contig_56,CYBIM_31
85092,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.9999999999999996e-76,CYBIM_31.Contig_83,CYBIM_31
85769,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),3.8999999999999996e-182,CYBIM_39.Contig_2,CYBIM_39
86599,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.8e-94,CYBIM_39.Contig_9,CYBIM_39
87197,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.2e-45,CYBIM_39.Contig_15,CYBIM_39
88188,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.3e-20,CYBIM_39.Contig_33,CYBIM_39
88246,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.9999999999999997e-274,CYBIM_39.Contig_34,CYBIM_39
89010,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),5.299999999999999e-167,CYBIM_51.Contig_1,CYBIM_51
89757,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.2e-30,CYBIM_51.Contig_20,CYBIM_51
90971,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",5.3e-272,CYBIM_51.Contig_89,CYBIM_51
91328,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),7.099999999999999e-176,CYBIM_51.Contig_131,CYBIM_51
91475,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.8000000000000002e-81,CYBIM_51.Contig_156,CYBIM_51
91812,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),8e-45,CYBIM_52.Contig_2,CYBIM_52
92104,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.1000000000000003e-92,CYBIM_52.Contig_5,CYBIM_52
92687,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",7.400000000000001e-274,CYBIM_52.Contig_14,CYBIM_52
93737,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.6999999999999997e-182,CYBIM_52.Contig_48,CYBIM_52
94560,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.7e-88,CYBIM_60_1.Contig_1,CYBIM_60_1
95818,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.2e-59,CYBIM_60_1.Contig_12,CYBIM_60_1
96041,COG20_FUNCTION,COG3598,RecA-family ATPase (RepA),8.5e-9,CYBIM_60_1.Contig_16,CYBIM_60_1
96672,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.1999999999999999e-271,CYBIM_60_1.Contig_28,CYBIM_60_1
97168,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),9.1e-49,CYBIM_60_1.Contig_41,CYBIM_60_1
97283,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),7.4e-138,CYBIM_60_1.Contig_45,CYBIM_60_1
98497,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),9.299999999999997e-184,CYBIM_63.Contig_2,CYBIM_63
99064,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.1e-272,CYBIM_63.Contig_6,CYBIM_63
99931,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),4.899999999999999e-88,CYBIM_63.Contig_15,CYBIM_63
101610,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),9.1e-49,CYBIM_63.Contig_67,CYBIM_63
102671,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.3e-273,CYBIM_67.Contig_12,CYBIM_67
102821,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.2999999999999998e-48,CYBIM_67.Contig_16,CYBIM_67
104565,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.6999999999999993e-177,CYBIM_67.Contig_128,CYBIM_67
105219,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),6.5e-49,CYBIM_73_1.Contig_1,CYBIM_73_1
105772,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",4.8e-273,CYBIM_73_1.Contig_5,CYBIM_73_1
107465,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.0999999999999994e-183,CYBIM_73_1.Contig_39,CYBIM_73_1
107752,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.7999999999999996e-88,CYBIM_73_1.Contig_50,CYBIM_73_1
108547,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2e-44,CYBIM_73.Contig_1,CYBIM_73
109040,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.1e-272,CYBIM_73.Contig_2,CYBIM_73
110203,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.6e-182,CYBIM_73.Contig_11,CYBIM_73
110817,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.8e-91,CYBIM_73.Contig_17,CYBIM_73
112197,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",2.6e-274,CYBIM_76.Contig_3,CYBIM_76
112977,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),8.8e-17,CYBIM_76.Contig_8,CYBIM_76
113067,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.3e-49,CYBIM_76.Contig_8,CYBIM_76
113279,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.7e-185,CYBIM_76.Contig_10,CYBIM_76
113342,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.7e-99,CYBIM_76.Contig_11,CYBIM_76
114797,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.9999999999999997e-274,CYBIM_77.Contig_1,CYBIM_77
115115,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.0999999999999999e-25,CYBIM_77.Contig_3,CYBIM_77
116461,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),9.9e-35,CYBIM_77.Contig_15,CYBIM_77
117072,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),5.7e-92,CYBIM_77.Contig_26,CYBIM_77
117388,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),9.9e-35,CYBIM_77.Contig_36,CYBIM_77
117767,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.2e-50,CYBIM_77.Contig_53,CYBIM_77
117867,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.9e-164,CYBIM_77.Contig_63,CYBIM_77
118302,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),6.8e-180,CYBIM_80.Contig_11,CYBIM_80
118507,COG20_FUNCTION,COG3598!!!COG4643,RecA-family ATPase (RepA)!!!Uncharacterized domain associated with phage/plasmid primase,7e-8,CYBIM_80.Contig_19,CYBIM_80
118618,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.4000000000000001e-30,CYBIM_80.Contig_23,CYBIM_80
118840,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.9999999999999998e-97,CYBIM_80.Contig_35,CYBIM_80
119624,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.6e-37,CYBIM_80.Contig_101,CYBIM_80
119859,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",5.899999999999999e-271,CYBIM_80.Contig_134,CYBIM_80
120269,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),5.9e-178,CYBIM_89.Contig_1,CYBIM_89
121311,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.3e-92,CYBIM_89.Contig_8,CYBIM_89
121740,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",8.7e-275,CYBIM_89.Contig_12,CYBIM_89
123107,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),4.4e-35,CYBIM_89.Contig_51,CYBIM_89
123219,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.0999999999999998e-94,CYBIM_90.Contig_1,CYBIM_90
123950,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",9.7e-274,CYBIM_90.Contig_9,CYBIM_90
124305,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.5999999999999995e-181,CYBIM_90.Contig_14,CYBIM_90
125365,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.6e-45,CYBIM_90.Contig_45,CYBIM_90
128427,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),4.8999999999999996e-185,CYBIM_93.Contig_16,CYBIM_93
128502,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.7e-88,CYBIM_93.Contig_17,CYBIM_93
128797,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.6999999999999997e-273,CYBIM_93.Contig_22,CYBIM_93
129848,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),4.099999999999999e-49,CYBIM_93.Contig_49,CYBIM_93
130521,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),3.7e-182,CYBIM_94.Contig_9,CYBIM_94
130910,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",2.8e-273,CYBIM_94.Contig_20,CYBIM_94
133280,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",2.8e-273,CYBIM_96.Contig_20,CYBIM_96
133371,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.7999999999999998e-151,CYBIM_96.Contig_26,CYBIM_96
134306,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),9.299999999999997e-184,CYBIM_96.Contig_120,CYBIM_96
134466,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),9.1e-49,CYBIM_96.Contig_141,CYBIM_96
134766,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),7.399999999999999e-32,CYBIM_96.Contig_189,CYBIM_96
137631,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.7e-101,DOLIS_105.Contig_76,DOLIS_105
137813,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.9999999999999997e-274,DOLIS_105.Contig_86,DOLIS_105
139180,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.7999999999999997e-178,DOLIS_105.Contig_196,DOLIS_105
141583,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.3999999999999998e-178,DOLIS_187.Contig_6,DOLIS_187
142604,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",9.8e-274,DOLIS_187.Contig_21,DOLIS_187
144493,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),5.3e-101,DOLIS_187.Contig_74,DOLIS_187
145429,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.3999999999999998e-178,DOLIS_36.Contig_2,DOLIS_36
148136,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.3999999999999998e-178,DOLIS_53.Contig_32,DOLIS_53
149653,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",4.5e-79,DOLIS_53.Contig_311,DOLIS_53
150110,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.9e-47,DOLIS_53.Contig_427,DOLIS_53
152824,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.2e-204,MCYST_100.Contig_281,MCYST_100
152890,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.2e-66,MCYST_100.Contig_296,MCYST_100
153596,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",3.7e-118,MCYST_100.Contig_471,MCYST_100
153617,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.5999999999999998e-113,MCYST_100.Contig_478,MCYST_100
154107,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.3999999999999998e-135,MCYST_157.Contig_4,MCYST_157
156894,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.6999999999999998e-62,MCYST_157.Contig_434,MCYST_157
159206,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",4.1999999999999995e-293,MCYST_162_1.Contig_141,MCYST_162_1
160719,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.9000000000000002e-290,MCYST_162_1.Contig_463,MCYST_162_1
162224,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",9.199999999999998e-280,MCYST_162_2.Contig_68,MCYST_162_2
162744,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),4.8e-34,MCYST_162_2.Contig_146,MCYST_162_2
162761,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.9e-261,MCYST_162_2.Contig_150,MCYST_162_2
166277,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",5.499999999999999e-293,MCYST_162.Contig_215,MCYST_162
166395,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.2e-66,MCYST_162.Contig_240,MCYST_162
167053,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.2e-66,MCYST_162.Contig_411,MCYST_162
168061,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.5000000000000002e-193,MCYST_24.Contig_133,MCYST_24
168481,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",2.1e-289,MCYST_24.Contig_218,MCYST_24
169988,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),4.5999999999999997e-110,MCYST_2.Contig_5,MCYST_2
170110,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.0999999999999999e-288,MCYST_2.Contig_8,MCYST_2
170772,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",3e-291,MCYST_2.Contig_22,MCYST_2
171807,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),3.4e-193,MCYST_2.Contig_54,MCYST_2
174841,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),3.8e-192,MCYST_31.Contig_10,MCYST_31
174962,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",9.699999999999999e-176,MCYST_31.Contig_12,MCYST_31
174963,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",4e-94,MCYST_31.Contig_12,MCYST_31
175646,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",4.1999999999999995e-293,MCYST_31.Contig_34,MCYST_31
178822,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.5999999999999998e-110,MCYST_31.Contig_437,MCYST_31
179448,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.9e-261,MCYST_56.Contig_8,MCYST_56
180068,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),6.4e-72,MCYST_56.Contig_26,MCYST_56
182314,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),8.299999999999999e-88,MCYST_56.Contig_138,MCYST_56
183449,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",9.199999999999998e-280,MCYST_56.Contig_250,MCYST_56
185420,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",9.399999999999999e-293,MCYST_62.Contig_27,MCYST_62
185949,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",2.1e-289,MCYST_62.Contig_47,MCYST_62
187366,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),2.0999999999999996e-195,MCYST_62.Contig_132,MCYST_62
189038,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),4.2e-191,MCYST_79.Contig_22,MCYST_79
190625,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",4.1999999999999995e-293,MCYST_79.Contig_153,MCYST_79
191385,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),2.1e-37,MCYST_79.Contig_249,MCYST_79
192847,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.9000000000000002e-290,MCYST_79.Contig_531,MCYST_79
192912,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),4.0000000000000003e-88,MCYST_79.Contig_550,MCYST_79
193478,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",2.1e-260,NODOS_103.Contig_10,NODOS_103
195659,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),6.199999999999999e-29,NODOS_103.Contig_206,NODOS_103
196841,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.4e-87,NODOS_103.Contig_387,NODOS_103
197407,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),7.4e-150,NODOS_103.Contig_512,NODOS_103
198084,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",6.1e-268,NODOS_105.Contig_4,NODOS_105
198406,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.1e-84,NODOS_105.Contig_19,NODOS_105
199055,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.4e-64,NODOS_105.Contig_60,NODOS_105
199173,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.9e-155,NODOS_105.Contig_70,NODOS_105
201467,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.3999999999999998e-153,NODOS_42.Contig_18,NODOS_42
201835,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),3.6000000000000004e-86,NODOS_42.Contig_46,NODOS_42
202087,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.4999999999999998e-159,NODOS_42.Contig_74,NODOS_42
203556,COG20_FUNCTION,COG0468,RecA/RadA recombinase (RecA) (PDB:1B22),1.9999999999999997e-159,PSEUDA_13.Contig_4,PSEUDA_13
204011,COG20_FUNCTION,COG1974,SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9),1.5999999999999997e-56,PSEUDA_13.Contig_12,PSEUDA_13
207325,COG20_FUNCTION,COG0467,"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family (RAD55) (PDB:1TF7)",1.7e-249,PSEUDA_13.Contig_177,PSEUDA_13
